message,label
Use 989738 as your login OTP for Amazon.,safe
Hi! Your verification code is 730859. Valid for 10 mins.,safe
Hi! Your verification code is 404171. Valid for 10 mins.,safe
Urgent! Your account will be blocked. Click http://zuniga.com/verify to verify OTP 611182.,spoofed
Urgent! Your account will be blocked. Click http://ryan.org/verify to verify OTP 479704.,spoofed
Use 125802 as your login OTP for Amazon.,safe
Security alert! Login attempt detected. Validate with OTP 534085 at http://brown.com/verify.,spoofed
Security alert! Login attempt detected. Validate with OTP 994219 at http://orozco-miller.org/verify.,spoofed
Enter 629436 to complete your transaction on Flipkart.,safe
Hi! Your verification code is 362779. Valid for 10 mins.,safe
Claim your reward by entering OTP 115104. Visit http://martin-frazier.com/verify now.,spoofed
Urgent! Your account will be blocked. Click http://herman-jackson.com/verify to verify OTP 330889.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 983674 at http://christian-johnson.com/verify.",spoofed
Security alert! Login attempt detected. Validate with OTP 791140 at http://ramsey-knox.com/verify.,spoofed
Your OTP is 824787. Please do not share it with anyone.,safe
Your payment failed. Enter OTP 868113 at http://herring-boyd.com/verify to retry.,spoofed
Claim your reward by entering OTP 686553. Visit http://jackson.info/verify now.,spoofed
Enter 208840 to complete your transaction on Google.,safe
171713 is your Flipkart OTP. Do not share this code.,safe
397909 is your Paytm OTP. Do not share this code.,safe
Claim your reward by entering OTP 713009. Visit http://davis-williams.com/verify now.,spoofed
Enter 716862 to complete your transaction on Flipkart.,safe
Enter 593294 to complete your transaction on Flipkart.,safe
"Dear user, suspicious activity detected. Confirm OTP 503766 at http://avery-booth.info/verify.",spoofed
281339 is your Flipkart OTP. Do not share this code.,safe
Your payment failed. Enter OTP 675589 at http://sims.com/verify to retry.,spoofed
Urgent! Your account will be blocked. Click http://hammond.biz/verify to verify OTP 310939.,spoofed
Security alert! Login attempt detected. Validate with OTP 647471 at http://foster-gray.info/verify.,spoofed
Enter 512285 to complete your transaction on Paytm.,safe
Security alert! Login attempt detected. Validate with OTP 918653 at http://walters.biz/verify.,spoofed
Hi! Your verification code is 772881. Valid for 10 mins.,safe
Your OTP is 198792. Please do not share it with anyone.,safe
101963 is your Walmart OTP. Do not share this code.,safe
Security alert! Login attempt detected. Validate with OTP 314244 at http://jordan.com/verify.,spoofed
Use 239287 as your login OTP for Walmart.,safe
Your payment failed. Enter OTP 760733 at http://brown.com/verify to retry.,spoofed
Hi! Your verification code is 906188. Valid for 10 mins.,safe
Use 454554 as your login OTP for Flipkart.,safe
Security alert! Login attempt detected. Validate with OTP 910829 at http://allen-brady.com/verify.,spoofed
Hi! Your verification code is 372682. Valid for 10 mins.,safe
Use 469224 as your login OTP for Walmart.,safe
Use 329010 as your login OTP for Google.,safe
674180 is your Paytm OTP. Do not share this code.,safe
"Dear user, suspicious activity detected. Confirm OTP 589734 at http://black.net/verify.",spoofed
Hi! Your verification code is 677012. Valid for 10 mins.,safe
Your payment failed. Enter OTP 988212 at http://adams.com/verify to retry.,spoofed
Use 609671 as your login OTP for Flipkart.,safe
848298 is your Paytm OTP. Do not share this code.,safe
Urgent! Your account will be blocked. Click http://pollard.biz/verify to verify OTP 428091.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 402814 at http://gutierrez.com/verify.",spoofed
Your payment failed. Enter OTP 977060 at http://smith.com/verify to retry.,spoofed
Your payment failed. Enter OTP 403391 at http://carr.com/verify to retry.,spoofed
Your OTP is 768785. Please do not share it with anyone.,safe
Enter 761611 to complete your transaction on Flipkart.,safe
Your payment failed. Enter OTP 964772 at http://brown.com/verify to retry.,spoofed
Claim your reward by entering OTP 553649. Visit http://hardin-bonilla.com/verify now.,spoofed
Claim your reward by entering OTP 566185. Visit http://gillespie.com/verify now.,spoofed
Your payment failed. Enter OTP 355572 at http://mcintosh.org/verify to retry.,spoofed
Hi! Your verification code is 755313. Valid for 10 mins.,safe
281862 is your Walmart OTP. Do not share this code.,safe
"Dear user, suspicious activity detected. Confirm OTP 924122 at http://bridges-smith.info/verify.",spoofed
Use 867126 as your login OTP for Walmart.,safe
Claim your reward by entering OTP 821342. Visit http://sanders.com/verify now.,spoofed
Enter 899759 to complete your transaction on Google.,safe
Your OTP is 152513. Please do not share it with anyone.,safe
Your OTP is 301666. Please do not share it with anyone.,safe
867152 is your Flipkart OTP. Do not share this code.,safe
Urgent! Your account will be blocked. Click http://delgado-lewis.com/verify to verify OTP 494393.,spoofed
Hi! Your verification code is 759556. Valid for 10 mins.,safe
Enter 944187 to complete your transaction on Walmart.,safe
Enter 732299 to complete your transaction on Flipkart.,safe
Security alert! Login attempt detected. Validate with OTP 486327 at http://garza.info/verify.,spoofed
Your OTP is 610660. Please do not share it with anyone.,safe
Your payment failed. Enter OTP 932784 at http://smith.info/verify to retry.,spoofed
Use 856289 as your login OTP for Walmart.,safe
Urgent! Your account will be blocked. Click http://jacobs.com/verify to verify OTP 471540.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 559271 at http://welch.com/verify.",spoofed
327127 is your Paytm OTP. Do not share this code.,safe
Claim your reward by entering OTP 179542. Visit http://thomas.net/verify now.,spoofed
Claim your reward by entering OTP 633290. Visit http://robinson.com/verify now.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 759660 at http://schmitt.info/verify.",spoofed
Use 902846 as your login OTP for Google.,safe
Hi! Your verification code is 781202. Valid for 10 mins.,safe
Enter 463368 to complete your transaction on Google.,safe
Claim your reward by entering OTP 169439. Visit http://brandt-rivera.com/verify now.,spoofed
Your OTP is 104660. Please do not share it with anyone.,safe
Use 260063 as your login OTP for Amazon.,safe
Enter 874714 to complete your transaction on Amazon.,safe
Your payment failed. Enter OTP 692193 at http://turner.com/verify to retry.,spoofed
Your payment failed. Enter OTP 699165 at http://miller.org/verify to retry.,spoofed
Enter 264792 to complete your transaction on Flipkart.,safe
Use 139699 as your login OTP for Paytm.,safe
Claim your reward by entering OTP 483401. Visit http://gray.com/verify now.,spoofed
Use 606229 as your login OTP for Paytm.,safe
"Dear user, suspicious activity detected. Confirm OTP 393968 at http://stephens-lane.com/verify.",spoofed
Your OTP is 697899. Please do not share it with anyone.,safe
Claim your reward by entering OTP 459610. Visit http://waller.com/verify now.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 444796 at http://johnson.com/verify.",spoofed
Use 285970 as your login OTP for Amazon.,safe
Urgent! Your account will be blocked. Click http://ingram-green.com/verify to verify OTP 251854.,spoofed
Your OTP is 799837. Please do not share it with anyone.,safe
Your payment failed. Enter OTP 950625 at http://shelton.org/verify to retry.,spoofed
Your payment failed. Enter OTP 957833 at http://howard.com/verify to retry.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 625975 at http://campbell.com/verify.",spoofed
Urgent! Your account will be blocked. Click http://molina.org/verify to verify OTP 385250.,spoofed
Claim your reward by entering OTP 892243. Visit http://anderson.com/verify now.,spoofed
Your OTP is 448145. Please do not share it with anyone.,safe
272525 is your Google OTP. Do not share this code.,safe
Urgent! Your account will be blocked. Click http://flynn.com/verify to verify OTP 662186.,spoofed
Hi! Your verification code is 713441. Valid for 10 mins.,safe
Use 745319 as your login OTP for Walmart.,safe
"Dear user, suspicious activity detected. Confirm OTP 128577 at http://beltran-berg.biz/verify.",spoofed
Urgent! Your account will be blocked. Click http://torres.com/verify to verify OTP 829982.,spoofed
Your payment failed. Enter OTP 302698 at http://gordon.biz/verify to retry.,spoofed
Enter 937104 to complete your transaction on Flipkart.,safe
"Dear user, suspicious activity detected. Confirm OTP 535593 at http://oneill-burton.biz/verify.",spoofed
Claim your reward by entering OTP 783040. Visit http://carroll-skinner.com/verify now.,spoofed
Security alert! Login attempt detected. Validate with OTP 394099 at http://wallace.org/verify.,spoofed
Urgent! Your account will be blocked. Click http://smith.com/verify to verify OTP 707821.,spoofed
Security alert! Login attempt detected. Validate with OTP 974476 at http://fuentes.com/verify.,spoofed
Your OTP is 962739. Please do not share it with anyone.,safe
Hi! Your verification code is 961040. Valid for 10 mins.,safe
Hi! Your verification code is 772892. Valid for 10 mins.,safe
Security alert! Login attempt detected. Validate with OTP 252736 at http://flynn.com/verify.,spoofed
Security alert! Login attempt detected. Validate with OTP 688246 at http://bush.org/verify.,spoofed
Your OTP is 725157. Please do not share it with anyone.,safe
Use 329437 as your login OTP for Paytm.,safe
Security alert! Login attempt detected. Validate with OTP 921293 at http://jackson.net/verify.,spoofed
Urgent! Your account will be blocked. Click http://mccormick.com/verify to verify OTP 170388.,spoofed
Claim your reward by entering OTP 339426. Visit http://mason-abbott.com/verify now.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 218117 at http://lowery-reid.net/verify.",spoofed
Security alert! Login attempt detected. Validate with OTP 683824 at http://glover-pruitt.org/verify.,spoofed
Hi! Your verification code is 359966. Valid for 10 mins.,safe
Urgent! Your account will be blocked. Click http://watkins.biz/verify to verify OTP 536531.,spoofed
Security alert! Login attempt detected. Validate with OTP 922891 at http://byrd-lawrence.com/verify.,spoofed
Claim your reward by entering OTP 461916. Visit http://hayes-taylor.info/verify now.,spoofed
Use 809005 as your login OTP for Walmart.,safe
"Dear user, suspicious activity detected. Confirm OTP 722032 at http://dudley.com/verify.",spoofed
Enter 122824 to complete your transaction on Google.,safe
973574 is your Flipkart OTP. Do not share this code.,safe
Your OTP is 207826. Please do not share it with anyone.,safe
Enter 619913 to complete your transaction on Walmart.,safe
"Dear user, suspicious activity detected. Confirm OTP 289407 at http://lee.com/verify.",spoofed
"Dear user, suspicious activity detected. Confirm OTP 109283 at http://bruce.com/verify.",spoofed
"Dear user, suspicious activity detected. Confirm OTP 714738 at http://villegas-rhodes.info/verify.",spoofed
544880 is your Flipkart OTP. Do not share this code.,safe
Your payment failed. Enter OTP 855206 at http://wood.com/verify to retry.,spoofed
Use 945481 as your login OTP for Flipkart.,safe
Your payment failed. Enter OTP 817386 at http://ford.biz/verify to retry.,spoofed
Hi! Your verification code is 559795. Valid for 10 mins.,safe
955300 is your Amazon OTP. Do not share this code.,safe
661653 is your Walmart OTP. Do not share this code.,safe
864174 is your Amazon OTP. Do not share this code.,safe
"Dear user, suspicious activity detected. Confirm OTP 995683 at http://west.com/verify.",spoofed
Claim your reward by entering OTP 136354. Visit http://robinson.info/verify now.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 790809 at http://clark-harris.com/verify.",spoofed
Security alert! Login attempt detected. Validate with OTP 373296 at http://thompson.info/verify.,spoofed
Security alert! Login attempt detected. Validate with OTP 987420 at http://jimenez-owens.net/verify.,spoofed
Enter 146979 to complete your transaction on Walmart.,safe
Security alert! Login attempt detected. Validate with OTP 569132 at http://robinson-jones.com/verify.,spoofed
Enter 728268 to complete your transaction on Amazon.,safe
Use 183455 as your login OTP for Flipkart.,safe
Security alert! Login attempt detected. Validate with OTP 256419 at http://james-marks.com/verify.,spoofed
Hi! Your verification code is 572254. Valid for 10 mins.,safe
Claim your reward by entering OTP 380912. Visit http://castillo-roberts.com/verify now.,spoofed
Use 333414 as your login OTP for Walmart.,safe
Claim your reward by entering OTP 879548. Visit http://walter.com/verify now.,spoofed
Claim your reward by entering OTP 419470. Visit http://ramirez.org/verify now.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 503224 at http://williams.biz/verify.",spoofed
Claim your reward by entering OTP 800828. Visit http://chambers-rodriguez.com/verify now.,spoofed
Security alert! Login attempt detected. Validate with OTP 830758 at http://smith.com/verify.,spoofed
987711 is your Amazon OTP. Do not share this code.,safe
"Dear user, suspicious activity detected. Confirm OTP 106751 at http://massey-ray.com/verify.",spoofed
Security alert! Login attempt detected. Validate with OTP 194385 at http://christian.com/verify.,spoofed
Your payment failed. Enter OTP 385562 at http://barker.org/verify to retry.,spoofed
Use 886057 as your login OTP for Google.,safe
Security alert! Login attempt detected. Validate with OTP 594131 at http://greer.com/verify.,spoofed
Your payment failed. Enter OTP 429378 at http://moreno-kelly.com/verify to retry.,spoofed
Hi! Your verification code is 500280. Valid for 10 mins.,safe
Your payment failed. Enter OTP 372521 at http://klein-roberts.biz/verify to retry.,spoofed
Security alert! Login attempt detected. Validate with OTP 448085 at http://humphrey-murray.com/verify.,spoofed
Urgent! Your account will be blocked. Click http://ray-jones.org/verify to verify OTP 502873.,spoofed
Claim your reward by entering OTP 273802. Visit http://jones-webster.com/verify now.,spoofed
Hi! Your verification code is 834472. Valid for 10 mins.,safe
Claim your reward by entering OTP 941882. Visit http://anderson-taylor.com/verify now.,spoofed
Enter 208437 to complete your transaction on Walmart.,safe
Use 950626 as your login OTP for Amazon.,safe
Enter 137860 to complete your transaction on Paytm.,safe
Your OTP is 403156. Please do not share it with anyone.,safe
Use 784958 as your login OTP for Walmart.,safe
Claim your reward by entering OTP 308839. Visit http://rojas-george.com/verify now.,spoofed
Urgent! Your account will be blocked. Click http://cooper.biz/verify to verify OTP 875810.,spoofed
Your OTP is 774630. Please do not share it with anyone.,safe
"Dear user, suspicious activity detected. Confirm OTP 241440 at http://wade.com/verify.",spoofed
Enter 653061 to complete your transaction on Google.,safe
Hi! Your verification code is 268071. Valid for 10 mins.,safe
"Dear user, suspicious activity detected. Confirm OTP 316047 at http://christensen.com/verify.",spoofed
Urgent! Your account will be blocked. Click http://wells-cook.com/verify to verify OTP 596614.,spoofed
Use 443968 as your login OTP for Flipkart.,safe
Hi! Your verification code is 745579. Valid for 10 mins.,safe
Security alert! Login attempt detected. Validate with OTP 780016 at http://rogers.com/verify.,spoofed
Your payment failed. Enter OTP 951829 at http://turner-case.com/verify to retry.,spoofed
Urgent! Your account will be blocked. Click http://morales.com/verify to verify OTP 847491.,spoofed
Security alert! Login attempt detected. Validate with OTP 929977 at http://archer-potter.com/verify.,spoofed
Claim your reward by entering OTP 541430. Visit http://ellis.com/verify now.,spoofed
Your payment failed. Enter OTP 345604 at http://rangel.com/verify to retry.,spoofed
Urgent! Your account will be blocked. Click http://hawkins-garrison.net/verify to verify OTP 927415.,spoofed
Security alert! Login attempt detected. Validate with OTP 549646 at http://sullivan.com/verify.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 281397 at http://jackson.com/verify.",spoofed
Claim your reward by entering OTP 468492. Visit http://mcintyre.net/verify now.,spoofed
Enter 187222 to complete your transaction on Flipkart.,safe
Claim your reward by entering OTP 299635. Visit http://pearson-baker.net/verify now.,spoofed
Enter 160427 to complete your transaction on Google.,safe
Use 682045 as your login OTP for Google.,safe
Security alert! Login attempt detected. Validate with OTP 348993 at http://stone-garcia.biz/verify.,spoofed
Claim your reward by entering OTP 404078. Visit http://green.com/verify now.,spoofed
Enter 152327 to complete your transaction on Google.,safe
Security alert! Login attempt detected. Validate with OTP 885066 at http://price.com/verify.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 628678 at http://obrien.com/verify.",spoofed
Urgent! Your account will be blocked. Click http://diaz.biz/verify to verify OTP 584519.,spoofed
Security alert! Login attempt detected. Validate with OTP 477574 at http://berry.com/verify.,spoofed
Your OTP is 886977. Please do not share it with anyone.,safe
Claim your reward by entering OTP 732785. Visit http://clark.org/verify now.,spoofed
Your payment failed. Enter OTP 352284 at http://taylor.com/verify to retry.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 851479 at http://joyce-gould.com/verify.",spoofed
Claim your reward by entering OTP 548956. Visit http://edwards-thomas.org/verify now.,spoofed
Enter 601964 to complete your transaction on Google.,safe
Security alert! Login attempt detected. Validate with OTP 582529 at http://foster-cross.com/verify.,spoofed
Security alert! Login attempt detected. Validate with OTP 173635 at http://smith.com/verify.,spoofed
751468 is your Flipkart OTP. Do not share this code.,safe
Security alert! Login attempt detected. Validate with OTP 109384 at http://baker.org/verify.,spoofed
Claim your reward by entering OTP 148765. Visit http://rodriguez.com/verify now.,spoofed
Security alert! Login attempt detected. Validate with OTP 505732 at http://hampton.net/verify.,spoofed
Security alert! Login attempt detected. Validate with OTP 432023 at http://boyer-fleming.biz/verify.,spoofed
Security alert! Login attempt detected. Validate with OTP 699559 at http://smith-mcconnell.com/verify.,spoofed
Enter 468020 to complete your transaction on Google.,safe
Enter 558306 to complete your transaction on Walmart.,safe
Your OTP is 975055. Please do not share it with anyone.,safe
Claim your reward by entering OTP 270625. Visit http://morris.biz/verify now.,spoofed
Hi! Your verification code is 318088. Valid for 10 mins.,safe
Your OTP is 192004. Please do not share it with anyone.,safe
Your payment failed. Enter OTP 851618 at http://smith-coleman.biz/verify to retry.,spoofed
Your payment failed. Enter OTP 260291 at http://ball.com/verify to retry.,spoofed
Your OTP is 997805. Please do not share it with anyone.,safe
895442 is your Flipkart OTP. Do not share this code.,safe
377847 is your Amazon OTP. Do not share this code.,safe
Hi! Your verification code is 983206. Valid for 10 mins.,safe
Your payment failed. Enter OTP 496567 at http://koch.com/verify to retry.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 216894 at http://stevenson.com/verify.",spoofed
Claim your reward by entering OTP 207544. Visit http://williams.biz/verify now.,spoofed
Your OTP is 571396. Please do not share it with anyone.,safe
Claim your reward by entering OTP 412212. Visit http://wilson-williams.com/verify now.,spoofed
Security alert! Login attempt detected. Validate with OTP 547851 at http://cole-griffin.com/verify.,spoofed
Hi! Your verification code is 170686. Valid for 10 mins.,safe
"Dear user, suspicious activity detected. Confirm OTP 251783 at http://peterson.com/verify.",spoofed
Enter 496048 to complete your transaction on Amazon.,safe
161330 is your Amazon OTP. Do not share this code.,safe
Your payment failed. Enter OTP 922782 at http://barber.info/verify to retry.,spoofed
Use 626384 as your login OTP for Paytm.,safe
"Dear user, suspicious activity detected. Confirm OTP 744748 at http://mahoney.net/verify.",spoofed
"Dear user, suspicious activity detected. Confirm OTP 992478 at http://bowman-garcia.info/verify.",spoofed
Hi! Your verification code is 762154. Valid for 10 mins.,safe
Your OTP is 672953. Please do not share it with anyone.,safe
Claim your reward by entering OTP 752898. Visit http://burgess.com/verify now.,spoofed
Use 597988 as your login OTP for Amazon.,safe
Hi! Your verification code is 257532. Valid for 10 mins.,safe
Hi! Your verification code is 439212. Valid for 10 mins.,safe
800220 is your Amazon OTP. Do not share this code.,safe
Security alert! Login attempt detected. Validate with OTP 233981 at http://zimmerman.org/verify.,spoofed
Security alert! Login attempt detected. Validate with OTP 895432 at http://reynolds.com/verify.,spoofed
Hi! Your verification code is 162264. Valid for 10 mins.,safe
Enter 385980 to complete your transaction on Walmart.,safe
Claim your reward by entering OTP 347548. Visit http://rivera.com/verify now.,spoofed
Enter 268498 to complete your transaction on Walmart.,safe
Enter 272955 to complete your transaction on Google.,safe
Hi! Your verification code is 380134. Valid for 10 mins.,safe
"Dear user, suspicious activity detected. Confirm OTP 599749 at http://casey.com/verify.",spoofed
889215 is your Flipkart OTP. Do not share this code.,safe
Hi! Your verification code is 520193. Valid for 10 mins.,safe
385307 is your Google OTP. Do not share this code.,safe
"Dear user, suspicious activity detected. Confirm OTP 620784 at http://rosario.com/verify.",spoofed
Your payment failed. Enter OTP 884133 at http://carroll.biz/verify to retry.,spoofed
Your payment failed. Enter OTP 687886 at http://cain.com/verify to retry.,spoofed
Your OTP is 212380. Please do not share it with anyone.,safe
112408 is your Flipkart OTP. Do not share this code.,safe
Urgent! Your account will be blocked. Click http://blanchard.biz/verify to verify OTP 381507.,spoofed
691824 is your Walmart OTP. Do not share this code.,safe
Your OTP is 335727. Please do not share it with anyone.,safe
"Dear user, suspicious activity detected. Confirm OTP 545227 at http://hall.info/verify.",spoofed
563151 is your Walmart OTP. Do not share this code.,safe
918446 is your Paytm OTP. Do not share this code.,safe
Enter 860403 to complete your transaction on Amazon.,safe
Use 421312 as your login OTP for Paytm.,safe
162833 is your Walmart OTP. Do not share this code.,safe
Your payment failed. Enter OTP 115800 at http://carroll-davis.net/verify to retry.,spoofed
625536 is your Google OTP. Do not share this code.,safe
Use 387298 as your login OTP for Amazon.,safe
Enter 306371 to complete your transaction on Amazon.,safe
Your OTP is 684657. Please do not share it with anyone.,safe
Your OTP is 990804. Please do not share it with anyone.,safe
Claim your reward by entering OTP 510196. Visit http://harrington.com/verify now.,spoofed
862347 is your Google OTP. Do not share this code.,safe
Your OTP is 518555. Please do not share it with anyone.,safe
Enter 223707 to complete your transaction on Google.,safe
